"txt_id","sentence_id","sentence_txt"
"a1e-fragment01","1","ADJ ADJ NOUN NOUN VERB PUNCT PART NOUN PUNCT PROPN PROPN PUNCT NOUN VERB VERB DET NUM NOUN NOUN NOUN PUNCT NOUN NOUN ADP PROPN PUNCT NOUN PROPN PROPN PROPN"
"a1e-fragment01","2","ADP PROPN NOUN"
"a1e-fragment01","3","PRON VERB ADP PROPN PROPN PUNCT DET ADJ NOUN PART VERB ADP DET PROPN PUNCT VERB VERB DET ADJ NOUN NOUN DET NOUN ADP ADJ SYM NUM NOUN NOUN PUNCT NOUN NOUN ADP NOUN CCONJ NOUN NOUN PROPN PUNCT"
"a1e-fragment01","4","PRON VERB ADV ADV VERB DET NOUN PART NOUN NOUN PUNCT"
"a1e-fragment01","5","DET NUM PUNCT ADJ PROPN ADP PROPN PROPN PUNCT PROPN ADJ DET NOUN VERB VERB VERB VERB PUNCT PUNCT NOUN NOUN NUM NOUN ADP NOUN VERB PUNCT DET ADV ADJ DET NOUN NOUN ADP NOUN PUNCT DET ADV ADJ DET NOUN PUNCT PUNCT"
"a1e-fragment01","6","ADP PRON VERB VERB ADJ ADJ NOUN ADV PUNCT PRON VERB VERB VERB PART ADP PROPN VERB DET ADV ADJ NOUN PUNCT NOUN NOUN ADP ADJ PROPN PROPN NOUN PUNCT"
"a1e-fragment01","7","ADV VERB ADJ NOUN PRON VERB PUNCT VERB ADJ ADJ NOUN PUNCT ADV ADV VERB PUNCT ADP DET NOUN ADP DET PROPN NOUN PUNCT CCONJ ADJ NOUN ADP DET PROPN NOUN PRON VERB PROPN PROPN DET NOUN PART PUNCT"
"a1e-fragment01","8","ADV DET NOUN VERB VERB ADJ NOUN PUNCT PROPN PROPN VERB DET NOUN ADP PROPN NOUN VERB DET VERB NOUN PUNCT"
"a1e-fragment01","9","PRON VERB DET PROPN ADP ADJ PUNCT"
"a1e-fragment01","10","VERB NOUN PUNCT PRON VERB ADJ PUNCT"
"a1e-fragment01","11","PUNCT PRON VERB ADV VERB NOUN NOUN ADP NOUN PUNCT"
"a1e-fragment01","12","PRON VERB VERB DET NOUN ADP ADV SYM NUM NOUN ADP DET NOUN ADP DET NOUN NOUN ADP SYM NUM NOUN PUNCT PRON PUNCT VERB VERB ADV VERB DET ADJ NOUN PROPN PUNCT CCONJ PRON VERB ADV VERB DET NOUN ADP NOUN PRON VERB VERB PROPN NOUN NOUN PUNCT"
"a1e-fragment01","13","ADP PRON VERB VERB PRON VERB ADV PUNCT PRON VERB VERB ADP PRON PUNCT PUNCT"
"a1e-fragment01","14","VERB DET ADJ NOUN PRON VERB ADV ADJ PUNCT"
"a1e-fragment01","15","PUNCT ADJ PROPN PROPN DET NOUN NOUN VERB ADV ADJ PUNCT PUNCT PRON VERB PUNCT"
"a1e-fragment01","16","PRON VERB ADJ PART VERB ADV PRON VERB DET NOUN NOUN DET NOUN VERB ADP PUNCT"
"a1e-fragment01","17","PRON VERB ADV VERB PART VERB PRON ADP ADP DET NOUN PUNCT PROPN DET NOUN PRON VERB VERB PUNCT PUNCT"
"a1e-fragment01","18","DET PROPN NOUN VERB VERB PROPN DET PROPN VERB ADJ NOUN NOUN DET NOUN ADP PROPN PROPN PROPN PUNCT"
"a1e-fragment01","19","PROPN PROPN VERB ADV VERB DET NOUN ADP DET NOUN PUNCT PROPN DET PROPN ADP PROPN PROPN PUNCT DET NOUN NOUN ADV PRON VERB DET NOUN ADJ VERB VERB ADP DET PROPN ADP PROPN PUNCT"
"a1e-fragment01","20","PRON VERB ADP PROPN PART NOUN VERB VERB ADP DET ADJ NOUN PUNCT"
"a1e-fragment01","21","PRON VERB ADP DET PROPN ADP PUNCT PROPN VERB ADP ADP PRON VERB PART VERB DET NOUN DET PROPN CCONJ PROPN VERB ADV DET NOUN PART VERB NUM PUNCT"
"a1e-fragment01","22","ADP ADP PROPN PROPN PRON VERB DET PROPN ADV ADV ADJ PUNCT VERB PART CCONJ PROPN NOUN DET ADV NUM PROPN NOUN PUNCT"
"a1e-fragment01","23","PRON VERB NOUN ADP PRON VERB ADV ADJ ADP DET PUNCT PROPN PROPN PUNCT ADJ VERB PROPN ADJ PROPN PROPN DET ADJ NUM PUNCT"
"a1e-fragment01","24","PUNCT PRON VERB PRON ADV PUNCT INTJ PUNCT CCONJ PRON ADV VERB DET NOUN ADP NOUN CCONJ PRON ADV VERB PROPN DET NOUN NOUN PUNCT PUNCT"
"a1e-fragment01","25","NOUN PRON VERB VERB ADP PROPN PUNCT PUNCT DET ADJ NOUN PRON VERB ADV PROPN PROPN PUNCT PUNCT VERB ADP DET VERB NOUN VERB ADV DET ADV ADJ NOUN ADP ADJ NOUN PUNCT"
"a1e-fragment01","26","PUNCT DET NOUN ADP DET NOUN VERB ADV VERB PRON PUNCT PRON VERB DET NOUN ADJ VERB ADJ PUNCT"
"a1e-fragment01","27","PRON VERB ADV VERB ADP CCONJ ADV PROPN PROPN NOUN CCONJ PROPN PROPN PUNCT PRON VERB ADP DET NOUN PROPN NOUN ADP NOUN ADV VERB PRON PUNCT PUNCT"
"a1e-fragment01","28","CCONJ ADV VERB ADV DET ADJ NOUN PART NOUN PUNCT ADP PRON VERB VERB NOUN ADP ADJ NOUN PUNCT"
"a1e-fragment01","29","PROPN DET NOUN NOUN ADJ VERB ADV NUM ADJ NOUN PUNCT PRON VERB PROPN DET PROPN ADP PRON VERB VERB DET NOUN PART VERB PRON CCONJ ADJ NOUN ADP VERB PUNCT PUNCT NOUN VERB VERB ADP ADP DET NOUN PUNCT PROPN VERB DET NOUN NOUN PUNCT"
"a1e-fragment01","30","PRON VERB VERB DET NOUN ADP PRON VERB VERB PRON PART VERB PRON PUNCT PUNCT"
"a1f-fragment06","142","NOUN PUNCT NOUN CCONJ NOUN VERB DET PROPN PROPN PROPN"
"a1f-fragment06","143","ADP PROPN PROPN PROPN"
"a1f-fragment06","144","NOUN PUNCT PRON VERB ADJ ADP ADJ NOUN ADP PUNCT PROPN PROPN NUM NOUN ADP PROPN PUNCT ADP PUNCT PROPN PROPN VERB PUNCT PUNCT NUM PROPN PUNCT PUNCT DET ADJ NOUN PUNCT ADP NOUN PUNCT PROPN DET ADJ NOUN ADP PROPN PUNCT DET NOUN ADP ADJ VERB PART VERB VERB ADV ADV VERB ADP DET NOUN PUNCT"
"a1f-fragment06","145","NOUN VERB ADV ADJ PART VERB DET PROPN ADP NOUN ADP NOUN PART NOUN PUNCT CCONJ ADV DET ADJ NOUN VERB ADP DET NOUN NOUN PRON ADV VERB ADV VERB PRON PART VERB PROPN PROPN PROPN PUNCT"
"a1f-fragment07","146","NOUN PUNCT NOUN CCONJ NOUN VERB DET PROPN PROPN PROPN"
"a1f-fragment07","147","ADP PROPN NOUN PROPN"
"a1f-fragment07","148","NOUN PUNCT ADP DET ADJ NOUN PROPN DET PROPN PROPN PART NOUN CCONJ NOUN NOUN PUNCT ADJ NOUN PART VERB DET NOUN ADP NUM PUNCT NUM PUNCT NOUN NOUN ADJ PUNCT NOUN NOUN VERB VERB VERB PUNCT NUM PROPN PUNCT PUNCT"
"a1f-fragment07","149","PROPN PART ADJ PUNCT NOUN PROPN PUNCT PART NOUN PROPN NOUN NUM NOUN NOUN VERB ADP DET ADJ NOUN ADJ PUNCT"
"a1f-fragment07","150","DET VERB ADP NUM NOUN NOUN ADP DET PROPN PUNCT NUM NOUN NOUN ADP PROPN PUNCT NUM NOUN NOUN ADP PROPN PROPN CCONJ NUM NOUN NOUN ADP PROPN PUNCT"
"a1f-fragment07","151","ADP ADP DET ADJ PUNCT NOUN NOUN CCONJ NOUN NOUN PROPN PROPN NOUN VERB ADV VERB ADJ ADJ NOUN PUNCT"
"a1f-fragment07","152","PROPN PROPN PART VERB DET NOUN ADP VERB DET NOUN ADP NOUN PUNCT NOUN PROPN NUM ADP DET ADJ NOUN CCONJ VERB NOUN ADP NUM PUNCT NOUN NOUN PROPN PUNCT NUM NOUN ADP DET NOUN PROPN NOUN VERB ADP NUM ADP DET NOUN PUNCT ADP DET NOUN PUNCT"
"a1f-fragment07","153","ADJ NOUN VERB ADV VERB ADJ NOUN ADP VERB ADP DET NOUN ADP DET NUM PROPN PROPN NOUN ADP ADJ ADJ CCONJ ADJ PUNCT NOUN NOUN CCONJ NOUN PART ADP DET NOUN ADP NUM PUNCT"
"a1f-fragment07","154","ADP NOUN VERB ADV ADV VERB VERB PUNCT"
"a1f-fragment07","155","DET ADV VERB NOUN ADP NUM PUNCT NUM PUNCT NOUN VERB ADV VERB NOUN PART VERB NOUN DET NOUN ADP DET NOUN PROPN PART VERB ADJ NOUN ADP ADP NOUN CCONJ PROPN VERB CCONJ ADJ PUNCT ADJ NOUN PUNCT"
"a1f-fragment07","156","NOUN VERB VERB VERB ADP VERB NUM PUNCT NUM PUNCT NOUN ADP NOUN CCONJ NOUN ADP ADV ADV NUM NOUN ADP NOUN PUNCT"
"a1f-fragment07","157","ADV DET VERB NUM ADV ADJ CCONJ ADJ NOUN VERB VERB PUNCT PART VERB PROPN PART ADJ ADJ CCONJ ADJ NOUN PUNCT CCONJ ADV ADJ ADJ NOUN PUNCT CCONJ PART VERB ADJ ADJ ADJ NOUN VERB DET NOUN NOUN VERB DET PROPN NOUN VERB DET ADV ADJ PROPN PUNCT CCONJ DET NOUN PUNCT"
"a1f-fragment08","158","NOUN PUNCT NOUN CCONJ NOUN VERB DET PROPN PROPN PROPN"
"a1f-fragment08","159","ADP PROPN PROPN NOUN"
"a1f-fragment08","160","PROPN PUNCT PROPN VERB ADV VERB DET NOUN VERB ADJ NOUN ADP NOUN ADP PROPN ADJ ADP DET PROPN PROPN PROPN DET PROPN ADJ NOUN PUNCT"
"a1f-fragment08","161","DET PRON VERB VERB PART VERB DET ADV PUNCT ADJ NOUN PUNCT ADJ ADP DET PROPN PROPN PUNCT PROPN DET NOUN ADP DET ADJ NOUN NOUN PUNCT ADV VERB ADP DET ADJ ADJ NOUN ADV VERB PUNCT PUNCT"
"a1f-fragment08","162","ADJ DET NOUN VERB VERB DET ADJ NOUN ADP DET NOUN ADP DET VERB NOUN CCONJ VERB VERB PRON VERB PROPN DET NOUN ADP PROPN PROPN PUNCT"
"a1f-fragment08","163","ADJ NOUN VERB VERB ADP PROPN PROPN VERB VERB PART VERB PRON ADV PUNCT CCONJ ADV PRON VERB VERB DET NOUN PUNCT"
"a1f-fragment09","164","NOUN PUNCT NOUN CCONJ NOUN VERB DET PROPN PROPN PROPN"
"a1f-fragment09","165","ADP PROPN PROPN NOUN"
"a1f-fragment09","166","NOUN PUNCT ADP PROPN VERB PART VERB DET PROPN NOUN ADP DET ADJ NOUN NOUN PUNCT NUM PROPN PUNCT PUNCT ADV ADJ DET ADJ NOUN NOUN DET ADJ NOUN PROPN VERB ADJ NOUN PUNCT CCONJ NOUN PART VERB PROPN PROPN VERB DET ADJ PUNCT NOUN ADP PROPN PROPN NOUN NOUN PUNCT"
"a1f-fragment09","167","ADP NUM NOUN ADJ DET NOUN VERB VERB VERB PUNCT"
"a1f-fragment09","168","ADV PUNCT PRON VERB VERB PROPN ADP NOUN ADP DET ADJ ADJ NOUN PUNCT ADV ADP PROPN ADV ADJ PUNCT ADJ CCONJ ADJ ADJ NOUN PROPN NOUN PROPN DET PROPN PUNCT NOUN PROPN VERB ADJ NOUN PUNCT NOUN CCONJ ADJ NOUN NOUN DET NOUN PROPN PUNCT"
"a1f-fragment09","169","ADV PUNCT PRON VERB VERB ADP NOUN VERB ADJ PROPN PROPN NOUN CCONJ VERB DET NOUN ADP NOUN PROPN PUNCT"
"a1f-fragment09","170","ADJ NOUN VERB ADV VERB DET NOUN ADP PROPN PROPN NOUN PUNCT CCONJ DET ADV VERB ADJ NOUN NOUN VERB ADV VERB NOUN CCONJ ADJ NOUN PUNCT NOUN NOUN PUNCT"
"a1f-fragment09","171","CCONJ PRON VERB VERB ADJ PART VERB CCONJ VERB ADJ ADJ NOUN PART VERB DET ADJ PROPN PUNCT NOUN ADP ADJ NOUN NOUN PRON VERB NUM ADP NUM PUNCT"
"a1f-fragment09","172","ADV PUNCT DET NOUN NOUN ADP DET PROPN PROPN VERB VERB PROPN DET NOUN ADP ADJ NOUN ADP PROPN ADJ ADV VERB PART VERB DET ADJ ADJ NOUN PROPN DET NUM PUNCT"
"a1f-fragment09","173","DET ADJ NOUN NOUN NOUN PUNCT VERB VERB PART VERB DET PROPN PROPN CCONJ ADP NOUN VERB VERB DET PROPN PRON VERB VERB ADJ ADP DET NOUN PUNCT"
"a1f-fragment10","174","NOUN PUNCT NOUN ADP PROPN PUNCT VERB PUNCT NOUN"
"a1f-fragment10","175","ADP DET PROPN PROPN PROPN"
"a1f-fragment10","176","NOUN PUNCT PROPN PROPN PRON VERB DET NOUN ADP DET NUM ADJ NOUN ADP NOUN CCONJ NOUN ADP PRON PUNCT DET PROPN PUNCT VERB PROPN PROPN NUM PROPN PUNCT"
"a1f-fragment10","177","PUNCT NOUN VERB ADJ NOUN VERB PROPN ADJ NUM ADJ NOUN PUNCT PUNCT VERB DET NOUN PUNCT"
"a1f-fragment10","178","DET ADV ADJ NOUN VERB VERB ADP NOUN ADP NOUN VERB ADV VERB ADP NOUN ADP DET PROPN PUNCT PRON VERB ADP PROPN ADP DET NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PUNCT PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN PUNCT"
"a1f-fragment10","179","VERB DET ADV ADJ CCONJ VERB NOUN ADP NOUN CCONJ NOUN ADP NOUN NOUN ADP PROPN PUNCT ADV ADJ NOUN ADP ADV VERB ADV ADV VERB PART VERB DET VERB NOUN ADP DET VERB NOUN ADP DET NOUN PUNCT CCONJ ADV ADJ NOUN PUNCT PRON VERB ADJ PART VERB DET NOUN VERB VERB ADP DET NOUN ADP ADJ NOUN PUNCT PUNCT ADV DET NOUN ADV DET NOUN VERB VERB NOUN PUNCT"
"a1f-fragment10","180","PUNCT PUNCT PUNCT PUNCT DET VERB NOUN VERB ADV NOUN PRON VERB PUNCT PUNCT"
